date,cameroon_logs,malaysian_logs,sawnwood_meranti_uk_port,sawnwood_fir_us_export,import_japan_meranti
1990M01,303.83,176.16,,,
1990M02,324.97,174.83,,,
1990M03,321.47,160.26,,,
1990M04,326.31,161.2,,,
1990M05,337.58,172.86,,,
1990M06,335.4,181.67,,,
1990M07,345.42,187.96,,,
1990M08,360.32,186.13,,,
1990M09,361.39,185.33,,,
1990M10,369.74,189.76,,,
1990M11,369.96,179.02,,,
1990M12,365.15,171.13,,,
1991M01,360.57,169.19,,,
1991M02,367.11,176.93,,,
1991M03,338.84,162.57,,,
1991M04,303.85,175.59,,,
1991M05,300.79,174.04,,,
1991M06,288.87,200.15,,,
1991M07,288.21,207.82,,,
1991M08,295.09,210.57,,,
1991M09,302.77,210.68,,,
1991M10,303.66,214.44,,,
1991M11,316.06,195.5,,,
1991M12,326.73,200.33,,,
1992M01,325.27,202.85,577.773559570313,214.720336914063,188.17
1992M02,317.54,214.04,599.185668945313,225.148300170898,197.30
1992M03,310.3,201.96,602.237426757813,231.237289428711,189.57
1992M04,313.96,199.67,616.377380371094,258.080505371094,188.39
1992M05,321.14,200.75,628.67822265625,233.156784057617,188.53
1992M06,330.28,205.11,610.79150390625,231.966094970703,191.29
1992M07,347.83,201.08,609.619567871094,236.24153137207,184.48
1992M08,355.34,197.25,607.430419921875,227.334747314453,183.51
1992M09,355.41,205.53,606.168640136719,231.177963256836,194.74
1992M10,347.86,220.2,600.246154785156,243.961868286133,207.83
1992M11,325.92,220.08,623.682678222656,244.614410400391,205.99
1992M12,324.49,245.58,604.347412109375,238.093215942383,240.49
1993M01,319.27,249.97,605.350402832031,225.016952514648,240.04
1993M02,314.53,286.7,618.109069824219,253.74153137207,286.70
1993M03,312.78,345.34,616.809143066406,263.156768798828,345.34
1993M04,324.24,463.41,645.416564941406,284.546600341797,463.41
1993M05,323.33,520.81,776.625427246094,292.741516113281,520.81
1993M06,314.45,493.82,803.574645996094,275.360168457031,493.82
1993M07,299.97,467.02,829.748046875,306.991516113281,467.02
1993M08,295.23,450.47,835.599426269531,271.033905029297,450.47
1993M09,308.36,384,851.098266601563,280.957641601563,384.00
1993M10,304.38,378.13,851.332153320313,295.724578857422,378.13
1993M11,299.54,333.36,835.173889160156,294.067810058594,333.36
1993M12,307.76,304.66,830.070922851563,285.957641601563,304.66
1994M01,304.03,294.84,774.167724609375,305.161010742188,294.80
1994M02,304.74,303.35,758.362976074219,305.161010742188,303.40
1994M03,311.57,310.48,770.990417480469,285.63134765625,310.50
1994M04,309.59,326.24,819.889526367188,315.970001220703,362.20
1994M05,318.06,343.5,855.095886230469,296.720001220703,345.50
1994M06,331.2,344.6,876.799743652344,326.339996337891,344.60
1994M07,343.77,331.98,875.945190429688,285.230010986328,332.00
1994M08,344.81,316.74,887.325317382813,302.109985351563,358.80
1994M09,347.76,299.92,861.728332519531,293.529998779297,300.06
1994M10,354.51,291.55,806.863708496094,285.910003662109,291.50
1994M11,351.43,279.43,792.309448242188,286.320007324219,279.40
1994M12,341.65,247.96,777.809753417969,306.549987792969,273.10
1995M01,341,248.42,793.984802246094,281.660003662109,249.00
1995M02,334.12,251.8,753.468200683594,294.470001220703,252.40
1995M03,346.84,283.1,714.200012207031,299.170013427734,285.00
1995M04,350.64,300.91,732.599548339844,293.739990234375,302.81
1995M05,340.95,285.43,750.781799316406,294.209991455078,289.28
1995M06,345.78,274.22,759.100646972656,316.869995117188,280.59
1995M07,351.79,259.57,752.333129882813,318.010009765625,261.63
1995M08,341.96,235.66,741.703918457031,305.355926513672,241.36
1995M09,337.09,221.73,728.706604003906,300.177978515625,223.52
1995M10,344.06,233.86,723.496154785156,274.593231201172,233.86
1995M11,337.67,230.96,716.059265136719,322.974578857422,230.96
1995M12,302.2,241.78,715.846313476563,306.156768798828,241.78
1996M01,279.69,234.29,719.359313964844,297.694915771484,234.29
1996M02,272.78,246.43,713.663635253906,290.355926513672,246.43
1996M03,271.79,253.01,728.676940917969,299.450012207031,253.01
1996M04,270.27,252.48,751.381896972656,307.239990234375,252.48
1996M05,279.31,261.65,753.108032226563,296.209991455078,262.49
1996M06,280.1,255.85,747.9091796875,313.649993896484,255.85
1996M07,284.68,259.69,743.965393066406,304.739990234375,259.69
1996M08,286.56,263.48,743.43359375,311.079986572266,263.48
1996M09,282.74,258.69,755.312377929688,336.140014648438,258.69
1996M10,300,252.67,753.334533691406,316.822021484375,252.67
1996M11,303.54,253.21,753.654357910156,336.245758056641,252.90
1996M12,300.38,233.76,726.843627929688,309.339996337891,233.76
1997M01,286.14,240.56,740.310302734375,309.668487548828,240.56
1997M02,282.95,235.18,753.287170410156,314.033874511719,233.72
1997M03,279.74,242.04,756.653381347656,298.155364990234,237.35
1997M04,277.66,240.16,749.8203125,270.201721191406,240.16
1997M05,278.6,252.18,747.5634765625,313.149169921875,252.18
1997M06,283.07,264.32,736.601989746094,279.224609375,264.85
1997M07,283.77,254.34,705.695922851563,303.359619140625,254.33
1997M08,285.71,244.23,649.00439453125,289.818267822266,245.37
1997M09,283.77,232.74,587.028381347656,298.624755859375,232.62
1997M10,295.98,227.39,534.517395019531,278.460235595703,227.36
1997M11,293.52,214.79,516.443237304688,299.178527832031,213.73
1997M12,286.14,211.1,471.019866943359,275.661743164063,210.67
1998M01,287.66,197.1,413.366668701172,287.298645019531,197.10
1998M02,287.8,202.54,504.151336669922,277.702972412109,202.50
1998M03,287.63,190.94,506.134826660156,278.61962890625,195.47
1998M04,287.67,166.49,505.975799560547,280.309234619141,168.95
1998M05,285.85,146.68,472.686767578125,297.549530029297,149.08
1998M06,274.49,137.41,451.423431396484,290.689453125,132.94
1998M07,273.82,134.96,437.603240966797,268.340270996094,134.83
1998M08,275.22,136.94,455.575927734375,269.071929931641,136.94
1998M09,289.13,150.19,503.496490478516,276.912902832031,150.19
1998M10,300.27,162.95,510.489501953125,265.692993164063,164.43
1998M11,292.65,159.45,513.986022949219,281.839109094571,159.45
1998M12,294.64,163.46,534.965026855469,283.747387121335,162.45
1999M01,291.19,176.22,538.461547851563,290.985212838709,176.22
1999M02,281.84,177.12,538.461538461538,286.341869677404,177.12
1999M03,273.74,172.52,555.944055944056,300.619906452749,172.52
1999M04,269.25,175.18,566.433566433567,285.047054192642,175.10
1999M05,251.31,176.52,580.41958041958,303.763412075785,176.52
1999M06,245.21,183.55,608.391608391608,290.644368794326,183.55
1999M07,243.83,186.53,622.377622377622,290.949076051365,186.08
1999M08,250.46,198.44,629.370629370629,296.19463465177,198.44
1999M09,247.15,202.78,643.356643356643,314.873561761873,202.49
1999M10,269.28,198.38,643.356643356643,323.226662643173,198.25
1999M11,307.48,198.59,643.356643356643,309.670467087211,198.59
1999M12,300.54,199.49,643.356643356643,314.244248862696,199.41
2000M01,301.32,193.08,643.356643356643,295.278665296307,193.08
2000M02,292.31,184.11,643.356643356643,312.795879819679,184.37
2000M03,286.74,190.87,636.363636363636,320.711,190.85
2000M04,281.41,194.19,636.363636363636,298.832,192.14
2000M05,269.19,189.5,633.931286105199,310.909,191.61
2000M06,282.14,194.18,629.370629370629,303.421,194.48
2000M07,279.3,191.07,628.205128205128,290.244,191.54
2000M08,278.19,191.08,604.895104895105,238.72,191.17
2000M09,259.19,193.57,544.955044955045,275.265,193.60
2000M10,254.12,189.44,538.461538461539,270.092,189.51
2000M11,254.56,188.11,526.38270820089,289.621,188.12
2000M12,266.63,180.16,524.475524475525,211.79,180.28
2001M01,278.89,171.87,517.482517482518,275.604,171.76
2001M02,274,173.43,501.748251748252,289.819,173.20
2001M03,268.46,166.15,500,263.492,166.15
2001M04,265.14,162.52,500,289.279,162.59
2001M05,259.8,165.05,500,275.589,164.30
2001M06,253.62,164.75,476.689976689977,305.238,164.53
2001M07,255.79,159.29,481.087094723458,289.424,162.04
2001M08,267.62,158.99,475.524475524475,292.195,159.87
2001M09,270.79,156.31,489.510489510489,282.92,156.38
2001M10,269.26,149.64,484.645788993615,274.308,151.27
2001M11,264.05,142.5,465.988556897648,289.097,146.49
2001M12,265.21,138.13,468.864468864469,266.972,139.91
2002M01,262.52,133.28,470.963818789906,252.896,133.84
2002M02,220.54,134.58,482.517482517483,271.491,136.04
2002M03,221.06,143.81,482.184482184482,241.469,143.02
2002M04,223.56,143.94,485.060394151303,248.19,144.11
2002M05,225.66,153.43,484.645788993615,254.101,149.08
2002M06,236.97,163.55,500,259.945,163.48
2002M07,242.61,178.82,507.449072666464,287.332,172.56
2002M08,236.83,181.94,532.739987285442,280.837,182.11
2002M09,235.65,181.95,564.768564768565,309.199,180.96
2002M10,237.33,179.88,565.217391304348,299.026,178.95
2002M11,243.72,183.47,564.435564435565,283.983,181.33
2002M12,245.86,182.22,565.162110616656,290.545,183.37
2003M01,260.18,187.78,552.447552447553,294.99,187.41
2003M02,263.93,186.81,549.825174825175,277.477,187.32
2003M03,264.7,184.18,549.117549117549,257.37,184.15
2003M04,265.72,180,550.063572790845,296.899,180.45
2003M05,283.4,183.88,554.83153210426,275.093,183.17
2003M06,285.7,182.34,552.447552447552,290.301,182.34
2003M07,278.59,181.67,552.447552447552,297.008,181.67
2003M08,272.82,181.46,559.440559440559,291.024,181.46
2003M09,274.81,187.19,545.454545454546,292.74,187.19
2003M10,292.29,196.77,545.454545454546,285.828,196.77
2003M11,298.33,197.46,545.454545454546,283.281,197.46
2003M12,313.36,196.44,538.461538461538,269.631,196.44
2004M01,315.3,199.06,538.461538461538,275.438,199.06
2004M02,325.61,199,552.447552447552,303.419,199.00
2004M03,315.72,195.2,552.447552447552,307.375,195.20
2004M04,308.72,197.96,552.447552447552,299.186,197.96
2004M05,319.41,188.43,587.412587412587,344.084,188.43
2004M06,323.17,198.62,590.909090909091,343.056,198.62
2004M07,326.55,200.45,594.405594405594,347.297,200.45
2004M08,331.8,198.65,594.405594405594,355.266,198.65
2004M09,339.29,199.27,594.405594405594,342.715,199.27
2004M10,346.97,197.96,601.398601398601,349.496,197.96
2004M11,360.91,202.13,608.391608391608,327.983,202.13
2004M12,362.21,190.35,608.391608391608,292.367,190.35
2005M01,353.97,191.43,636.363636363636,328.988,191.43
2005M02,351.44,191.02,636.363636363636,316.346,191.02
2005M03,355.88,193.65,646.853146853147,359.518,193.65
2005M04,323.49,194.15,643.356643356643,325.815,194.15
2005M05,342.45,202.52,657.342657342657,334.517,202.52
2005M06,328.28,203.12,657.342657342657,327.317,203.12
2005M07,328.29,205.53,657.342657342657,298.102,205.53
2005M08,334.96,211.94,664.335664335664,334.241,211.94
2005M09,330.92,216.8,671.328671328671,331.084,216.80
2005M10,324.41,211.27,671.328671328671,331.637,211.27
2005M11,318.21,205.47,685.314685314685,333.104,205.47
2005M12,320.12,210.52,685.314685314685,319.357,210.52
2006M01,323.76,221,713.286713286713,308.746,221.00
2006M02,316.37,222.54,713.286713286713,324.526,222.54
2006M03,306.51,225.16,713.286713286713,317.784,225.16
2006M04,312.91,229.39,720.27972027972,309.133,229.39
2006M05,325.62,244.17,759.895104895105,327.645,244.17
2006M06,309.93,238.46,749.266774997527,349.85,238.46
2006M07,312.34,236.12,749.620375265629,357.941,236.12
2006M08,317.07,240.03,769.304123523362,368.826,240.03
2006M09,314.99,246.47,766.662282439834,355.232,246.47
2006M10,316.85,245.32,762.069543325393,372.603,245.32
2006M11,328.47,256.02,776.985784520082,349.971,256.02
2006M12,336.93,268.46,798.177414380875,367.03,268.46
2007M01,358.74,262.27,796.352511847791,355.069,262.27
2007M02,375.22,262.56,795.356740977846,369.657,262.56
2007M03,380.05,269.66,791.45494491602,343.568,269.66
2007M04,387.91,266.04,808.80980864935,353.725,266.04
2007M05,373.59,261.95,806.212675645697,362.249,261.95
2007M06,356.95,257.91,807.062129163324,339.558,257.91
2007M07,364.85,263.05,826.408534636545,309.027,263.05
2007M08,371.2,270.93,816.735331899935,248.861,270.93
2007M09,378.67,274.96,819.621035237327,316.406,274.96
2007M10,387.7,271.68,812.950998605469,295.233,271.68
2007M11,422.05,279.41,806.267667073627,306.633,279.41
2007M12,418.95,275.34,788.328807107448,310.944,275.34
2008M01,483.85,287.08,812.615749216811,322.864,287.08
2008M02,545.69,288.4,855.837762877214,311.942,288.40
2008M03,562.84,304.85,912.454841229261,298.256,304.85
2008M04,558.94,291.76,940.974874596939,291.603,291.76
2008M05,552.27,282.97,933.583987508541,305.651,282.97
2008M06,552.13,272.29,932.88574817564,294.011,272.29
2008M07,559.62,275.76,932.773365871901,332.267,275.76
2008M08,554.09,272.95,879.393730329035,315.061,272.95
2008M09,531.67,284.47,888.755445556241,312.563,284.47
2008M10,492.92,304.45,861.695990390573,324.722,304.45
2008M11,451.99,315.97,872.327601165863,333.187,315.97
2008M12,476.62,326.62,845.80048065115,315.35,326.62
2009M01,470.23,329.65,818.4485,348.135984309503,329.65
2009M02,421.9,322.45,806.652,318.254986680528,322.45
2009M03,388.23,288.57,815.856,308.077398290708,288.57
2009M04,382.51,283.13,815.6835,314.666548710145,283.13
2009M05,395.36,291.06,855.4215,330.21839120941,291.06
2009M06,406.46,279.25,817.9,325.649226946438,279.25
2009M07,408.55,281.42,760.275,314.711616277922,281.42
2009M08,413.77,276.62,769.668,313.659485990865,276.62
2009M09,422.3,280.84,784.272,291.752300560437,280.84
2009M10,444.48,276.62,805.10425,288.240901898734,276.62
2009M11,451.15,271.97,821.0565,309.832781971895,271.97
2009M12,452.72,264.83,795.956,321.873791852218,264.83
2010M01,442.44,258.22,792.4427,314.605130554283,258.22
2010M02,424.27,252.76,781,306.274042580195,252.76
2010M03,427.57,249.84,790.10213625,315.501494641165,249.84
2010M04,429.65,246.04,820.2085,303.622912823424,246.04
2010M05,403.49,253.66,836.4713235,306.976633211442,253.66
2010M06,390.78,260.84,841.092,307.14847901246,260.84
2010M07,421.37,274.91,871.18287,313.709887295082,274.91
2010M08,425.61,294.67,892.1847252,320.194175547059,294.67
2010M09,432.02,310.91,875.964375,321.736335581209,310.91
2010M10,458.88,316.36,880.1745,314.313672973542,316.36
2010M11,450.17,313.32,901.45185,276.872827497851,313.32
2010M12,436.49,306.54,896.9885,315.181825396825,306.54
2011M01,441.28,315.32,907.7824,306.919749465834,315.32
2011M02,450.84,328.63,927.8085,292.495690459311,328.63
2011M03,462.6,334.76,929.21725,283.847260354731,334.76
2011M04,477.55,343.5,946.2089175,274.182526572824,343.50
2011M05,487.24,385.25,958.1259625,286.209230450472,385.25
2011M06,504.01,417.56,973.158,292.577954945768,417.56
2011M07,521.63,430.49,969.42,307.39780810955,430.49
2011M08,523.28,450.03,973.5985,318.669735164991,450.03
2011M09,500.43,453.63,952.6814,304.858912643353,453.63
