country,m49_code,year,mtn_area_tot,mtn_area_nival,mtn_area_alpine,mtn_area_montane,mtn_area_remaining
Afghanistan,004,2000,399545,21308,17558,265537,95143
Afghanistan,004,2005,399545,21308,17558,265537,95143
Afghanistan,004,2010,399545,21308,17558,265537,95143
Afghanistan,004,2015,399545,21308,17558,265537,95143
Afghanistan,004,2018,399545,21308,17558,265537,95143
Afghanistan,004,2021,399545,21308,17558,265537,95143
Åland Islands,248,2000,NA,NA,NA,NA,NA
Åland Islands,248,2005,NA,NA,NA,NA,NA
Åland Islands,248,2010,NA,NA,NA,NA,NA
Åland Islands,248,2015,NA,NA,NA,NA,NA
Åland Islands,248,2018,NA,NA,NA,NA,NA
Åland Islands,248,2021,NA,NA,NA,NA,NA
Albania,008,2000,17142,NA,12,16941,189
Albania,008,2005,17138,NA,12,16937,188
Albania,008,2010,16917,NA,12,16709,195
Albania,008,2015,16799,NA,12,16587,199
Albania,008,2018,16768,NA,12,16557,198
Albania,008,2021,16737,NA,12,16527,198
Algeria,012,2000,273874,NA,NA,64139,209735
Algeria,012,2005,273874,NA,NA,64139,209735
Algeria,012,2010,273874,NA,NA,64139,209735
Algeria,012,2015,273874,NA,NA,64139,209735
Algeria,012,2018,273874,NA,NA,64139,209735
Algeria,012,2021,273874,NA,NA,64139,209735
American Samoa,016,2000,34,NA,NA,NA,34
American Samoa,016,2005,34,NA,NA,NA,34
American Samoa,016,2010,34,NA,NA,NA,34
American Samoa,016,2015,34,NA,NA,NA,34
American Samoa,016,2018,34,NA,NA,NA,34
American Samoa,016,2021,34,NA,NA,NA,34
Andorra,020,2000,464,NA,147,318,NA
Andorra,020,2005,464,NA,147,318,NA
Andorra,020,2010,464,NA,147,318,NA
Andorra,020,2015,464,NA,147,318,NA
Andorra,020,2018,464,NA,147,318,NA
Andorra,020,2021,464,NA,147,318,NA
Angola,024,2000,159965,NA,NA,NA,159965
Angola,024,2005,159965,NA,NA,NA,159965
Angola,024,2010,159965,NA,NA,NA,159965
Angola,024,2015,159965,NA,NA,NA,159965
Angola,024,2018,159965,NA,NA,NA,159965
Angola,024,2021,159965,NA,NA,NA,159965
Anguilla,660,2000,NA,NA,NA,NA,NA
Anguilla,660,2005,NA,NA,NA,NA,NA
Anguilla,660,2010,NA,NA,NA,NA,NA
Anguilla,660,2015,NA,NA,NA,NA,NA
Anguilla,660,2018,NA,NA,NA,NA,NA
Anguilla,660,2021,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2000,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2005,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2010,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2015,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2018,NA,NA,NA,NA,NA
Antigua and Barbuda,028,2021,NA,NA,NA,NA,NA
Argentina,032,2000,NA,NA,NA,NA,NA
Argentina,032,2005,NA,NA,NA,NA,NA
Argentina,032,2010,NA,NA,NA,NA,NA
Argentina,032,2015,NA,NA,NA,NA,NA
Argentina,032,2018,NA,NA,NA,NA,NA
Argentina,032,2021,NA,NA,NA,NA,NA
Armenia,051,2000,24551,NA,81,23476,993
Armenia,051,2005,24551,NA,81,23476,993
Armenia,051,2010,24551,NA,81,23476,993
Armenia,051,2015,24551,NA,81,23476,993
Armenia,051,2018,24551,NA,81,23476,993
Armenia,051,2021,24551,NA,81,23476,993
Aruba,533,2000,NA,NA,NA,NA,NA
Aruba,533,2005,NA,NA,NA,NA,NA
Aruba,533,2010,NA,NA,NA,NA,NA
Aruba,533,2015,NA,NA,NA,NA,NA
Aruba,533,2018,NA,NA,NA,NA,NA
Aruba,533,2021,NA,NA,NA,NA,NA
"Ascension, Saint Helena and Tristan da Cunha",654,2000,173,NA,NA,92,82
"Ascension, Saint Helena and Tristan da Cunha",654,2005,173,NA,NA,92,82
"Ascension, Saint Helena and Tristan da Cunha",654,2010,173,NA,NA,92,82
"Ascension, Saint Helena and Tristan da Cunha",654,2015,173,NA,NA,92,82
"Ascension, Saint Helena and Tristan da Cunha",654,2018,173,NA,NA,92,82
"Ascension, Saint Helena and Tristan da Cunha",654,2021,173,NA,NA,92,82
Australia,036,2000,235605,NA,2410,143366,89829
Australia,036,2005,235605,NA,2410,143366,89829
Australia,036,2010,235605,NA,2410,143366,89829
Australia,036,2015,235605,NA,2410,143366,89829
Australia,036,2018,235605,NA,2410,143366,89829
Australia,036,2021,235605,NA,2410,143366,89829
Austria,040,2000,59880,3506,5031,51343,NA
Austria,040,2005,59775,3506,5021,51248,NA
Austria,040,2010,59572,3506,5010,51056,NA
Austria,040,2015,59465,3505,5006,50954,NA
Austria,040,2018,59450,3505,5005,50940,NA
Austria,040,2021,59435,3505,5005,50925,NA
Azerbaijan,031,2000,41671,11,282,39544,1834
Azerbaijan,031,2005,41671,11,282,39544,1834
Azerbaijan,031,2010,41671,11,282,39544,1834
Azerbaijan,031,2015,41671,11,282,39544,1834
Azerbaijan,031,2018,41671,11,282,39544,1834
Azerbaijan,031,2021,41671,11,282,39544,1834
Bahamas,044,2000,NA,NA,NA,NA,NA
Bahamas,044,2005,NA,NA,NA,NA,NA
Bahamas,044,2010,NA,NA,NA,NA,NA
Bahamas,044,2015,NA,NA,NA,NA,NA
Bahamas,044,2018,NA,NA,NA,NA,NA
Bahamas,044,2021,NA,NA,NA,NA,NA
Bahrain,048,2000,NA,NA,NA,NA,NA
Bahrain,048,2005,NA,NA,NA,NA,NA
Bahrain,048,2010,NA,NA,NA,NA,NA
Bahrain,048,2015,NA,NA,NA,NA,NA
Bahrain,048,2018,NA,NA,NA,NA,NA
Bahrain,048,2021,NA,NA,NA,NA,NA
Bangladesh,050,2000,1399,NA,NA,NA,1399
Bangladesh,050,2005,1399,NA,NA,NA,1399
Bangladesh,050,2010,1399,NA,NA,NA,1399
Bangladesh,050,2015,1399,NA,NA,NA,1399
Bangladesh,050,2018,1399,NA,NA,NA,1399
Bangladesh,050,2021,1399,NA,NA,NA,1399
Barbados,052,2000,6,NA,NA,NA,6
Barbados,052,2005,6,NA,NA,NA,6
